id,title,description,size,num_categorical,num_spatial,num_temporal,start_date,end_date,x,y
122,Citywide Payroll Data (Fiscal Year),"Data is collected because of public interest in how the City’s budget is being spent on salary and overtime pay for all municipal employees. Data is input into the City's Personnel Management System (“PMS”) by the respective user Agencies. Each record represents the following statistics for every city employee: Agency, Last Name, First Name, Middle Initial, Agency Start Date, Work Location Borough, Job Title Description, Leave Status as of the close of the FY (June 30th), Base Salary, Pay Basis, Regular Hours Paid, Regular Gross Paid, Overtime Hours worked, Total Overtime Paid, and Total Other Compensation (i.e. lump sum and/or retro payments). This data can be used to analyze how the City's financial resources are allocated and how much of the City's budget is being devoted to overtime. The reader of this data should be aware that increments of salary increases received over the course of any one fiscal year will not be reflected. All that is captured, is the employee's final base and gross salary at the end of the fiscal year. In very limited cases, a check replacement and subsequent refund may reflect both the original check as well as the re-issued check in employee pay totals. NOTE 1: To further improve the visibility into the number of employee OT hours worked, beginning with the FY 2023 report, an updated methodology will be used which will eliminate redundant reporting of OT hours in some specific instances. In the previous calculation, hours associated with both overtime pay as well as an accompanying overtime “companion code” pay were included in the employee total even though they represented pay for the same period of time. With the updated methodology, the dollars shown on the Open Data site will continue to be inclusive of both types of overtime, but the OT hours will now reflect a singular block of time, which will result in a more representative total of employee OT hours worked. The updated methodology will primarily impact the OT hours associated with City employees in uniformed civil service titles. The updated methodology will be applied to the Open Data posting for Fiscal Year 2023 and cannot be applied to prior postings and, as a result, the reader of this data should not compare OT hours prior to the 2023 report against OT hours published starting Fiscal Year 2023. The reader of this data may continue to compare OT dollars across all published Fiscal Years on Open Data. NOTE 2: As a part of FISA-OPA’s routine process for reviewing and releasing Citywide Payroll Data, data for some agencies (specifically NYC Police Department (NYPD) and the District Attorneys’ Offices (Manhattan, Kings, Queens, Richmond, Bronx, and Special Narcotics)) have been redacted since they are exempt from disclosure pursuant to the Freedom of Information Law, POL § 87(2)(f), on the ground that disclosure of the information could endanger the life and safety of the public servants listed thereon. They are further exempt from disclosure pursuant to POL § 87(2)(e)(iii), on the ground that any release of the information would identify confidential sources or disclose confidential information relating to a criminal investigation, and POL § 87(2)(e)(iv), on the ground that disclosure would reveal non-routine criminal investigative techniques or procedures. Some of these redactions will appear as XXX in the name columns.",3744031,0,8,6,2021-12-10,2023-03-17,196,178
123,Subway Entrances,Map of NYC Subway Entrances,7047616,8,5,7,2018-04-02,2018-12-27,46,82
124,Film Permits,"Permits are generally required when asserting the exclusive use of city property, like a sidewalk, a street, or a park. See http://www1.nyc.gov/site/mome/permits/when-permit-required.page",1542264,8,6,7,2020-03-10,2020-09-25,72,163
125,311 Service Requests from 2010 to Present,"Please note: Due to pandemic call handling modifications, the ‘Open Data Channel Type’ values may not accurately indicate the channel the Service Request was submitted in for the period starting March 2020. All 311 Service Requests from 2010 to present. This information is automatically updated daily.",551514,2,3,4,2020-10-03,2020-11-17,86,24
126,311 Call Center Inquiry,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. The 311 Call Center Inquiry dataset contains information on all agent-handled calls to the City’s 311 information line, including date, time and topic.",7041,1,7,3,2020-09-25,2021-09-14,146,158
127,311 Service Requests for 2009,All 311 Requests from year 2009. This is historical data and will not be updated.,2807924,9,4,2,2021-10-31,2022-03-05,208,72
128,311 Web Content - Services,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue.",4347804,9,2,3,2022-02-09,2022-02-28,81,106
129,311 Service Requests for 2006,311 Service Requests for 2006. This is historical data and will not be updated.,5227282,0,7,0,2018-01-12,2019-06-05,141,23
130,311 Service Requests for 2005,311 Service Requests for 2005. This is historical data and will not be updated.,1684153,3,4,0,2021-04-21,2021-08-11,246,43
131,Local Law 8 of 2020 – Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A row level daily report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",3281138,6,0,7,2021-11-23,2022-03-15,11,125
132,Noise Complaints (in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,3845202,5,2,0,2019-06-17,2019-09-07,55,76
133,311 Service Level Agreements,Provides the time commitments that City Agencies have made to respond to 311 Service Requests that are assigned to them.,3301099,9,0,8,2020-07-11,2020-09-09,134,120
134,311 Service Requests for 2008,311 Service Requests for 2008. This is historical data and will not be updated.,4095395,7,6,9,2021-08-09,2022-03-27,197,135
135,311 complaints(Agency DSNY in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,4753025,6,9,5,2021-08-01,2022-08-08,30,19
136,311 Service Requests for 2007,311 Service Requests for 2007. This is historical data and will not be updated.,8109956,9,3,0,2021-04-27,2022-07-05,154,132
137,Local Law 8 of 2020 Report – Monthly Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A monthly report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",1910196,1,5,2,2022-01-24,2022-11-26,167,188
138,DOB Job Application Filings,"This dataset contains all job applications submitted through the Borough Offices, through eFiling, or through the HUB, which have a ""Latest Action Date"" since January 1, 2000. This dataset does not include jobs submitted through DOB NOW. See the DOB NOW: Build – Job Application Filings dataset for DOB NOW jobs.",5658804,1,5,4,2021-12-31,2022-09-09,141,48
139,Civil Service List (Active),"A Civil Service List consists of all candidates who passed an exam, ranked in score order. An established list is considered active for no less than one year and no more than four years from the date of establishment. For more information visit DCAS’ “Work for the City” webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page",3113217,8,0,4,2019-08-21,2022-11-23,160,141
140,TLC New Driver Application Status,"THIS DATASET IS UPDATED SEVERAL TIMES PER DAY. TLC Driver application status check for applicants who had applied for a new TLC driver’s license. For more information and to upload missing requirements, visit www.nyc.gov/tlcup For historical/archived data of past application statuses, please see- https://data.cityofnewyork.us/Transportation/Historical-Driver-Application-Status/p32s-yqxq",7925602,9,7,2,2021-09-15,2021-12-12,36,99
141,For Hire Vehicles (FHV) - Active,"PLEASE NOTE: This dataset, which includes all TLC licensed for-hire vehicles which are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date' should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_for_hire_vehicle_active_and_inactive.csv TLC authorized For-Hire vehicles that are active. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",2488347,9,2,3,2018-11-03,2021-06-20,16,83
142,For Hire Vehicles (FHV) - Active Drivers,"PLEASE NOTE: This dataset, which includes all TLC licensed for-hire drivers which are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date' should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_for_hire_vehicle_drivers_active.csv NYC TLC Licensed FHV drivers that are currently active and in good standing. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",5339709,3,5,9,2021-03-27,2021-09-28,242,45
143,Civil Service List Certification,"A List Certification includes the names of eligible candidates on an Active Civil Service List that has been established. The Certification may contain part of a list, the whole list, or multiple lists at the request of an appointing agency, to fill vacancies and/or replace provisionals. Eligible candidates on a Certification may be considered for probable appointment at the appointing Agency. For more information visit DCAS’ “Work for the City” webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page",3005089,0,1,7,2020-10-24,2022-12-03,176,21
144,DOB Permit Issuance,"The Department of Buildings (DOB) issues permits for construction and demolition activities in the City of New York. The construction industry must submit an application to DOB with details of the construction job they would like to complete. The primary types of application, aka job type, are: New Building, Demolition, and Alterations Type 1, 2, and 3. Each job type can have multiple work types, such as general construction, boiler, elevator, and plumbing. Each work type will receive a separate permit. (See the DOB Job Application Filings dataset for information about each job application.) Each row/record in this dataset represents the life cycle of one permit for one work type. The dataset is updated daily with new records, and each existing record will be updated as the permit application moves through the approval process to reflect the latest status of the application.",8768652,6,0,4,2019-09-11,2020-10-11,69,183
145,Motor Vehicle Collisions - Crashes,"The Motor Vehicle Collisions crash table contains details on the crash event. Each row represents a crash event. The Motor Vehicle Collisions data tables contain information from all police reported motor vehicle collisions in NYC. The police report (MV104-AN) is required to be filled out for collisions where someone is injured or killed, or where there is at least $1000 worth of damage (https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/documents/ny_overlay_mv-104an_rev05_2004.pdf). It should be noted that the data is preliminary and subject to change when the MV-104AN forms are amended based on revised crash details.For the most accurate, up to date statistics on traffic fatalities, please refer to the NYPD Motor Vehicle Collisions page (updated weekly) or Vision Zero View (updated monthly). Due to success of the CompStat program, NYPD began to ask how to apply the CompStat principles to other problems. Other than homicides, the fatal incidents with which police have the most contact with the public are fatal traffic collisions. Therefore in April 1998, the Department implemented TrafficStat, which uses the CompStat model to work towards improving traffic safety. Police officers complete form MV-104AN for all vehicle collisions. The MV-104AN is a New York State form that has all of the details of a traffic collision. Before implementing Trafficstat, there was no uniform traffic safety data collection procedure for all of the NYPD precincts. Therefore, the Police Department implemented the Traffic Accident Management System (TAMS) in July 1999 in order to collect traffic data in a uniform method across the City. TAMS required the precincts manually enter a few selected MV-104AN fields to collect very basic intersection traffic crash statistics which included the number of accidents, injuries and fatalities. As the years progressed, there grew a need for additional traffic data so that more detailed analyses could be conducted. The Citywide traffic safety initiative, Vision Zero started in the year 2014. Vision Zero further emphasized the need for the collection of more traffic data in order to work towards the Vision Zero goal, which is to eliminate traffic fatalities. Therefore, the Department in March 2016 replaced the TAMS with the new Finest Online Records Management System (FORMS). FORMS enables the police officers to electronically, using a Department cellphone or computer, enter all of the MV-104AN data fields and stores all of the MV-104AN data fields in the Department’s crime data warehouse. Since all of the MV-104AN data fields are now stored for each traffic collision, detailed traffic safety analyses can be conducted as applicable.",9442522,9,1,2,2018-05-21,2020-06-15,28,248
146,Medallion Drivers - Active,"PLEASE NOTE: This dataset, which includes all TLC Licensed Drivers who are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date' should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_medallion_drivers_active.csv This is a list of drivers with a current TLC Driver License, which authorizes drivers to operate NYC TLC licensed yellow and green taxicabs and for-hire vehicles (FHVs). This list is accurate as of the date and time shown in the Last Date Updated and Last Time Updated fields. Questions about the contents of this dataset can be sent by email to: licensinginquiries@tlc.nyc.gov.",9103463,0,4,8,2019-08-06,2022-09-14,248,207
147,Citywide Payroll Data (Fiscal Year),"Data is collected because of public interest in how the City’s budget is being spent on salary and overtime pay for all municipal employees. Data is input into the City's Personnel Management System (“PMS”) by the respective user Agencies. Each record represents the following statistics for every city employee: Agency, Last Name, First Name, Middle Initial, Agency Start Date, Work Location Borough, Job Title Description, Leave Status as of the close of the FY (June 30th), Base Salary, Pay Basis, Regular Hours Paid, Regular Gross Paid, Overtime Hours worked, Total Overtime Paid, and Total Other Compensation (i.e. lump sum and/or retro payments). This data can be used to analyze how the City's financial resources are allocated and how much of the City's budget is being devoted to overtime. The reader of this data should be aware that increments of salary increases received over the course of any one fiscal year will not be reflected. All that is captured, is the employee's final base and gross salary at the end of the fiscal year. In very limited cases, a check replacement and subsequent refund may reflect both the original check as well as the re-issued check in employee pay totals. NOTE 1: To further improve the visibility into the number of employee OT hours worked, beginning with the FY 2023 report, an updated methodology will be used which will eliminate redundant reporting of OT hours in some specific instances. In the previous calculation, hours associated with both overtime pay as well as an accompanying overtime “companion code” pay were included in the employee total even though they represented pay for the same period of time. With the updated methodology, the dollars shown on the Open Data site will continue to be inclusive of both types of overtime, but the OT hours will now reflect a singular block of time, which will result in a more representative total of employee OT hours worked. The updated methodology will primarily impact the OT hours associated with City employees in uniformed civil service titles. The updated methodology will be applied to the Open Data posting for Fiscal Year 2023 and cannot be applied to prior postings and, as a result, the reader of this data should not compare OT hours prior to the 2023 report against OT hours published starting Fiscal Year 2023. The reader of this data may continue to compare OT dollars across all published Fiscal Years on Open Data. NOTE 2: As a part of FISA-OPA’s routine process for reviewing and releasing Citywide Payroll Data, data for some agencies (specifically NYC Police Department (NYPD) and the District Attorneys’ Offices (Manhattan, Kings, Queens, Richmond, Bronx, and Special Narcotics)) have been redacted since they are exempt from disclosure pursuant to the Freedom of Information Law, POL § 87(2)(f), on the ground that disclosure of the information could endanger the life and safety of the public servants listed thereon. They are further exempt from disclosure pursuant to POL § 87(2)(e)(iii), on the ground that any release of the information would identify confidential sources or disclose confidential information relating to a criminal investigation, and POL § 87(2)(e)(iv), on the ground that disclosure would reveal non-routine criminal investigative techniques or procedures. Some of these redactions will appear as XXX in the name columns.",1125765,8,4,2,2018-01-06,2020-04-25,96,44
148,Subway Entrances,Map of NYC Subway Entrances,5022548,5,4,0,2021-06-15,2023-02-12,198,201
149,Film Permits,"Permits are generally required when asserting the exclusive use of city property, like a sidewalk, a street, or a park. See http://www1.nyc.gov/site/mome/permits/when-permit-required.page",1718856,4,8,3,2021-01-22,2022-10-15,149,197
150,311 Service Requests from 2010 to Present,"Please note: Due to pandemic call handling modifications, the ‘Open Data Channel Type’ values may not accurately indicate the channel the Service Request was submitted in for the period starting March 2020. All 311 Service Requests from 2010 to present. This information is automatically updated daily.",5646345,4,3,2,2019-06-03,2021-10-11,42,115
151,311 Call Center Inquiry,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. The 311 Call Center Inquiry dataset contains information on all agent-handled calls to the City’s 311 information line, including date, time and topic.",5181484,0,0,1,2023-02-07,2023-03-26,69,120
152,311 Service Requests for 2009,All 311 Requests from year 2009. This is historical data and will not be updated.,2691507,7,3,0,2019-12-06,2021-06-26,50,91
153,311 Web Content - Services,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue.",4699616,4,0,9,2018-11-10,2022-07-05,64,196
154,311 Service Requests for 2006,311 Service Requests for 2006. This is historical data and will not be updated.,3451093,3,3,5,2021-02-18,2023-02-12,203,110
155,311 Service Requests for 2005,311 Service Requests for 2005. This is historical data and will not be updated.,9700989,2,0,1,2023-01-16,2023-02-15,130,60
156,Local Law 8 of 2020 – Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A row level daily report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",4012906,5,6,1,2021-10-26,2023-01-29,78,122
157,Noise Complaints (in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,825301,4,9,4,2021-07-28,2023-03-31,168,198
158,311 Service Level Agreements,Provides the time commitments that City Agencies have made to respond to 311 Service Requests that are assigned to them.,2163659,2,2,5,2019-10-28,2020-05-01,123,162
159,311 Service Requests for 2008,311 Service Requests for 2008. This is historical data and will not be updated.,4150924,9,5,9,2018-12-15,2021-06-12,118,233
160,311 complaints(Agency DSNY in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,53569,7,7,4,2021-01-12,2021-05-16,180,94
161,311 Service Requests for 2007,311 Service Requests for 2007. This is historical data and will not be updated.,1133837,0,9,8,2022-10-25,2023-01-19,93,28
162,Local Law 8 of 2020 Report – Monthly Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A monthly report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",281645,4,3,5,2020-01-08,2021-05-22,202,62
163,DOB Job Application Filings,"This dataset contains all job applications submitted through the Borough Offices, through eFiling, or through the HUB, which have a ""Latest Action Date"" since January 1, 2000. This dataset does not include jobs submitted through DOB NOW. See the DOB NOW: Build – Job Application Filings dataset for DOB NOW jobs.",7330066,9,6,5,2022-10-02,2022-12-20,187,138
164,Civil Service List (Active),"A Civil Service List consists of all candidates who passed an exam, ranked in score order. An established list is considered active for no less than one year and no more than four years from the date of establishment. For more information visit DCAS’ “Work for the City” webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page",1602778,6,0,8,2018-10-30,2023-02-23,25,105
165,TLC New Driver Application Status,"THIS DATASET IS UPDATED SEVERAL TIMES PER DAY. TLC Driver application status check for applicants who had applied for a new TLC driver’s license. For more information and to upload missing requirements, visit www.nyc.gov/tlcup For historical/archived data of past application statuses, please see- https://data.cityofnewyork.us/Transportation/Historical-Driver-Application-Status/p32s-yqxq",3554332,9,5,6,2022-02-05,2022-02-17,42,202
166,For Hire Vehicles (FHV) - Active,"PLEASE NOTE: This dataset, which includes all TLC licensed for-hire vehicles which are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date' should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_for_hire_vehicle_active_and_inactive.csv TLC authorized For-Hire vehicles that are active. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",5213556,7,5,1,2022-04-10,2023-03-21,190,132
167,For Hire Vehicles (FHV) - Active Drivers,"PLEASE NOTE: This dataset, which includes all TLC licensed for-hire drivers which are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date' should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_for_hire_vehicle_drivers_active.csv NYC TLC Licensed FHV drivers that are currently active and in good standing. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields. For inquiries about the contents of this dataset, please email licensinginquiries@tlc.nyc.gov.",7065012,6,4,6,2021-04-25,2021-07-28,223,187
168,Civil Service List Certification,"A List Certification includes the names of eligible candidates on an Active Civil Service List that has been established. The Certification may contain part of a list, the whole list, or multiple lists at the request of an appointing agency, to fill vacancies and/or replace provisionals. Eligible candidates on a Certification may be considered for probable appointment at the appointing Agency. For more information visit DCAS’ “Work for the City” webpage at: https://www1.nyc.gov/site/dcas/employment/take-an-exam.page",3748711,8,9,6,2022-01-05,2022-09-11,36,115
169,DOB Permit Issuance,"The Department of Buildings (DOB) issues permits for construction and demolition activities in the City of New York. The construction industry must submit an application to DOB with details of the construction job they would like to complete. The primary types of application, aka job type, are: New Building, Demolition, and Alterations Type 1, 2, and 3. Each job type can have multiple work types, such as general construction, boiler, elevator, and plumbing. Each work type will receive a separate permit. (See the DOB Job Application Filings dataset for information about each job application.) Each row/record in this dataset represents the life cycle of one permit for one work type. The dataset is updated daily with new records, and each existing record will be updated as the permit application moves through the approval process to reflect the latest status of the application.",4533082,1,3,0,2020-11-26,2021-01-27,234,27
170,Motor Vehicle Collisions - Crashes,"The Motor Vehicle Collisions crash table contains details on the crash event. Each row represents a crash event. The Motor Vehicle Collisions data tables contain information from all police reported motor vehicle collisions in NYC. The police report (MV104-AN) is required to be filled out for collisions where someone is injured or killed, or where there is at least $1000 worth of damage (https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/documents/ny_overlay_mv-104an_rev05_2004.pdf). It should be noted that the data is preliminary and subject to change when the MV-104AN forms are amended based on revised crash details.For the most accurate, up to date statistics on traffic fatalities, please refer to the NYPD Motor Vehicle Collisions page (updated weekly) or Vision Zero View (updated monthly). Due to success of the CompStat program, NYPD began to ask how to apply the CompStat principles to other problems. Other than homicides, the fatal incidents with which police have the most contact with the public are fatal traffic collisions. Therefore in April 1998, the Department implemented TrafficStat, which uses the CompStat model to work towards improving traffic safety. Police officers complete form MV-104AN for all vehicle collisions. The MV-104AN is a New York State form that has all of the details of a traffic collision. Before implementing Trafficstat, there was no uniform traffic safety data collection procedure for all of the NYPD precincts. Therefore, the Police Department implemented the Traffic Accident Management System (TAMS) in July 1999 in order to collect traffic data in a uniform method across the City. TAMS required the precincts manually enter a few selected MV-104AN fields to collect very basic intersection traffic crash statistics which included the number of accidents, injuries and fatalities. As the years progressed, there grew a need for additional traffic data so that more detailed analyses could be conducted. The Citywide traffic safety initiative, Vision Zero started in the year 2014. Vision Zero further emphasized the need for the collection of more traffic data in order to work towards the Vision Zero goal, which is to eliminate traffic fatalities. Therefore, the Department in March 2016 replaced the TAMS with the new Finest Online Records Management System (FORMS). FORMS enables the police officers to electronically, using a Department cellphone or computer, enter all of the MV-104AN data fields and stores all of the MV-104AN data fields in the Department’s crime data warehouse. Since all of the MV-104AN data fields are now stored for each traffic collision, detailed traffic safety analyses can be conducted as applicable.",9310725,9,9,9,2023-01-05,2023-02-11,130,228
171,Medallion Drivers - Active,"PLEASE NOTE: This dataset, which includes all TLC Licensed Drivers who are in good standing and able to drive, is updated every day in the evening between 4-7pm. Please check the 'Last Update Date' field to make sure the list has updated successfully. 'Last Update Date' should show either today or yesterday's date, depending on the time of day. If the list is outdated, please download the most recent list from the link below. http://www1.nyc.gov/assets/tlc/downloads/datasets/tlc_medallion_drivers_active.csv This is a list of drivers with a current TLC Driver License, which authorizes drivers to operate NYC TLC licensed yellow and green taxicabs and for-hire vehicles (FHVs). This list is accurate as of the date and time shown in the Last Date Updated and Last Time Updated fields. Questions about the contents of this dataset can be sent by email to: licensinginquiries@tlc.nyc.gov.",7425306,8,9,7,2018-07-01,2021-11-27,201,165
172,Citywide Payroll Data (Fiscal Year),"Data is collected because of public interest in how the City’s budget is being spent on salary and overtime pay for all municipal employees. Data is input into the City's Personnel Management System (“PMS”) by the respective user Agencies. Each record represents the following statistics for every city employee: Agency, Last Name, First Name, Middle Initial, Agency Start Date, Work Location Borough, Job Title Description, Leave Status as of the close of the FY (June 30th), Base Salary, Pay Basis, Regular Hours Paid, Regular Gross Paid, Overtime Hours worked, Total Overtime Paid, and Total Other Compensation (i.e. lump sum and/or retro payments). This data can be used to analyze how the City's financial resources are allocated and how much of the City's budget is being devoted to overtime. The reader of this data should be aware that increments of salary increases received over the course of any one fiscal year will not be reflected. All that is captured, is the employee's final base and gross salary at the end of the fiscal year. In very limited cases, a check replacement and subsequent refund may reflect both the original check as well as the re-issued check in employee pay totals. NOTE 1: To further improve the visibility into the number of employee OT hours worked, beginning with the FY 2023 report, an updated methodology will be used which will eliminate redundant reporting of OT hours in some specific instances. In the previous calculation, hours associated with both overtime pay as well as an accompanying overtime “companion code” pay were included in the employee total even though they represented pay for the same period of time. With the updated methodology, the dollars shown on the Open Data site will continue to be inclusive of both types of overtime, but the OT hours will now reflect a singular block of time, which will result in a more representative total of employee OT hours worked. The updated methodology will primarily impact the OT hours associated with City employees in uniformed civil service titles. The updated methodology will be applied to the Open Data posting for Fiscal Year 2023 and cannot be applied to prior postings and, as a result, the reader of this data should not compare OT hours prior to the 2023 report against OT hours published starting Fiscal Year 2023. The reader of this data may continue to compare OT dollars across all published Fiscal Years on Open Data. NOTE 2: As a part of FISA-OPA’s routine process for reviewing and releasing Citywide Payroll Data, data for some agencies (specifically NYC Police Department (NYPD) and the District Attorneys’ Offices (Manhattan, Kings, Queens, Richmond, Bronx, and Special Narcotics)) have been redacted since they are exempt from disclosure pursuant to the Freedom of Information Law, POL § 87(2)(f), on the ground that disclosure of the information could endanger the life and safety of the public servants listed thereon. They are further exempt from disclosure pursuant to POL § 87(2)(e)(iii), on the ground that any release of the information would identify confidential sources or disclose confidential information relating to a criminal investigation, and POL § 87(2)(e)(iv), on the ground that disclosure would reveal non-routine criminal investigative techniques or procedures. Some of these redactions will appear as XXX in the name columns.",7445465,1,8,5,2021-01-09,2022-09-30,166,128
173,Subway Entrances,Map of NYC Subway Entrances,298713,7,8,3,2022-02-23,2023-02-05,40,89
174,Film Permits,"Permits are generally required when asserting the exclusive use of city property, like a sidewalk, a street, or a park. See http://www1.nyc.gov/site/mome/permits/when-permit-required.page",5844169,4,3,6,2020-03-13,2021-11-26,106,72
175,311 Service Requests from 2010 to Present,"Please note: Due to pandemic call handling modifications, the ‘Open Data Channel Type’ values may not accurately indicate the channel the Service Request was submitted in for the period starting March 2020. All 311 Service Requests from 2010 to present. This information is automatically updated daily.",573938,6,7,9,2019-05-27,2022-11-03,69,94
176,311 Call Center Inquiry,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. The 311 Call Center Inquiry dataset contains information on all agent-handled calls to the City’s 311 information line, including date, time and topic.",6443068,2,5,3,2020-01-02,2022-09-12,226,16
177,311 Service Requests for 2009,All 311 Requests from year 2009. This is historical data and will not be updated.,6965251,5,7,5,2020-12-18,2021-06-25,216,241
178,311 Web Content - Services,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue.",2955663,2,6,6,2018-05-31,2022-04-28,243,122
179,311 Service Requests for 2006,311 Service Requests for 2006. This is historical data and will not be updated.,5673215,2,6,9,2019-01-09,2019-09-24,81,107
180,311 Service Requests for 2005,311 Service Requests for 2005. This is historical data and will not be updated.,2061970,6,4,4,2021-07-29,2022-11-26,90,64
181,Local Law 8 of 2020 – Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A row level daily report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",6826395,5,6,6,2019-04-11,2021-11-02,156,60
182,Noise Complaints (in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,3323927,5,8,8,2022-11-08,2023-01-23,70,74
183,311 Service Level Agreements,Provides the time commitments that City Agencies have made to respond to 311 Service Requests that are assigned to them.,6718365,6,5,0,2021-11-15,2022-04-21,147,11
184,311 Service Requests for 2008,311 Service Requests for 2008. This is historical data and will not be updated.,314273,9,6,8,2023-01-28,2023-04-13,212,100
185,311 complaints(Agency DSNY in 2017),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,663938,4,9,9,2023-02-06,2023-03-05,230,49
186,311 Service Requests for 2007,311 Service Requests for 2007. This is historical data and will not be updated.,2254394,2,5,0,2021-02-14,2023-01-31,111,138
187,Local Law 8 of 2020 Report – Monthly Complaints of Illegal Parking of Vehicles Operated on Behalf of the City,"NOTE: This data does not present a full picture of 311 calls or service requests, in part because of operational and system complexities associated with remote call taking necessitated by the unprecedented volume 311 is handling during the Covid-19 crisis. The City is working to address this issue. A monthly report of illegal parking by City vehicle or permit 311 Service Requests starting from 1/30/20.",7112687,5,4,6,2019-03-11,2020-09-14,98,107
